E-table state encoding (flip, slice_id, edge8_perm, slice_perm)
======================================================================

E0071 [   0,494, 6980, 2] [ 6步] U翻棱:D | D归位:L2 F2 | 中层:U' | 收尾:F2 U2
E0072 [   0,494,27417,15] [ 4步] U翻棱:R2 | D归位:B2 | 中层:U2 | 收尾:D'
E0073 [   0,494, 8490, 6] [ 7步] U翻棱:D | D归位:L2 F2 | 中层:U B2 | 收尾:R2 B2
E0074 [   0,494,40072,16] [10步] U翻棱:U D' | D归位:B2 R2 L2 | 中层:U B2 | 收尾:L2 D' L2
E0075 [   0,494,33354, 4] [ 7步] U翻棱:F2 | D归位:U F2 | 中层:U2 L2 | 收尾:B2 D'
E0076 [   0,494,25919,14] [ 9步] U翻棱:U B2 | D归位:L2 B2 | 中层:R2 D2 | 收尾:F2 B2 R2
E0077 [   0,494,15301,21] [ 7步] U翻棱:U | D归位:R2 U' | 中层:D' L2 | 收尾:U' L2
E0078 [   0,494,31175,12] [ 8步] U翻棱:D' R2 | D归位:F2 B2 | 中层:R2 F2 | 收尾:R2 D2
E0079 [   0,494,19983, 0] [ 5步] U翻棱:D2 | D归位:F2 | 中层:U' | 收尾:D2 F2
E0080 [   0,494,  105, 1] [ 1步] U翻棱:B2 | D归位: | 中层: | 收尾:
E0081 [   0,494,  437, 5] [ 8步] U翻棱:U B2 | D归位:U' D2 | 中层:L2 D' | 收尾:B2 D
E0082 [   0,494,13870, 4] [ 6步] U翻棱:L2 | D归位:U2 F2 | 中层:B2 | 收尾:D F2
E0083 [   0,494, 8985, 1] [ 6步] U翻棱:D | D归位:B2 U' | 中层:L2 | 收尾:U2 L2
E0084 [   0,494,21423,23] [ 3步] U翻棱:D' | D归位: | 中层:R2 | 收尾:L2
E0085 [   0,494,15200,14] [ 4步] U翻棱:U' | D归位:F2 | 中层:L2 | 收尾:F2
E0086 [   0,494,17320,11] [ 5步] U翻棱:U' | D归位:D | 中层:F2 | 收尾:D R2
E0087 [   0,494,12268, 6] [ 5步] U翻棱:F2 | D归位:D | 中层:B2 | 收尾:U2 B2
E0088 [   0,494,36741,12] [10步] U翻棱:U R2 | D归位:L2 F2 U | 中层:L2 B2 | 收尾:D' F2 D'
E0089 [   0,494,12280, 7] [ 6步] U翻棱:U2 | D归位:D F2 | 中层:D2 | 收尾:B2 D'
E0090 [   0,494,26886, 6] [ 2步] U翻棱:U | D归位: | 中层: | 收尾:F2
E0091 [   0,494, 8908,19] [ 7步] U翻棱:U | D归位:R2 U' | 中层:D' F2 | 收尾:U D'
E0092 [   0,494, 5797, 1] [ 7步] U翻棱:D' | D归位:B2 L2 | 中层:U' L2 | 收尾:U2 D'
E0093 [   0,494, 7594, 7] [10步] U翻棱:U2 D | D归位:F2 L2 F2 | 中层:U B2 | 收尾:D R2 F2
E0094 [   0,494, 6307,23] [ 6步] U翻棱:U | D归位:D R2 | 中层:U' | 收尾:L2 U
E0095 [   0,494, 1589,21] [ 6步] U翻棱:U | D归位:L2 D2 | 中层:R2 | 收尾:L2 U'
E0096 [   0,494,14804,15] [ 4步] U翻棱:U2 | D归位:D2 | 中层:R2 | 收尾:B2
E0097 [   0,494, 7119,18] [ 9步] U翻棱:R2 U | D归位:D R2 | 中层:D' B2 | 收尾:R2 F2 U
E0098 [   0,494, 4563,12] [ 8步] U翻棱:B2 U2 | D归位:R2 B2 | 中层:D' F2 | 收尾:U2 D
E0099 [   0,494,11538, 0] [ 2步] U翻棱:U2 | D归位: | 中层: | 收尾:D
E0100 [   0,494,16299, 3] [ 7步] U翻棱:F2 | D归位:B2 D' | 中层:F2 L2 | 收尾:U' D
E0101 [   0,494,28888,17] [ 6步] U翻棱:U | D归位:D2 F2 | 中层:R2 | 收尾:L2 U
E0102 [   0,494,31123, 0] [ 4步] U翻棱:D' | D归位:R2 | 中层:D2 | 收尾:R2
E0103 [   0,494,13747, 7] [ 4步] U翻棱:U2 | D归位:F2 | 中层:B2 | 收尾:D
E0104 [   0,494,22227, 5] [ 8步] U翻棱:U2 D' | D归位:R2 F2 | 中层:U2 D | 收尾:R2 U
E0105 [   0,494,38021,16] [ 7步] U翻棱:U2 | D归位:B2 U2 | 中层:R2 L2 | 收尾:B2 D
E0106 [   0,494,13227, 8] [ 5步] U翻棱:D2 | D归位:L2 | 中层:D | 收尾:F2 U2
E0107 [   0,494,25248,11] [ 4步] U翻棱:U | D归位:F2 | 中层:R2 | 收尾:U2
E0108 [   0,494,14780,22] [ 8步] U翻棱:R2 F2 | D归位:R2 D' | 中层:B2 U2 | 收尾:D' R2
E0109 [   0,494,23625, 3] [ 5步] U翻棱:D' | D归位:R2 | 中层:B2 | 收尾:L2 F2
E0110 [   0,494,25508,21] [ 9步] U翻棱:U2 D2 | D归位:B2 U' | 中层:D' R2 | 收尾:L2 F2 L2
E0111 [   0,494,28546, 9] [ 7步] U翻棱:U2 | D归位:B2 U | 中层:L2 U2 | 收尾:D' F2
E0112 [   0,494,15185, 1] [ 3步] U翻棱:B2 | D归位: | 中层:U' | 收尾:D2
E0113 [   0,494,34897,18] [ 4步] U翻棱:B2 | D归位:R2 | 中层:F2 | 收尾:D2
E0114 [   0,494,26928,15] [ 5步] U翻棱:U | D归位:L2 | 中层:F2 | 收尾:R2 L2
E0115 [   0,494,16531,17] [ 7步] U翻棱:U | D归位:D' R2 | 中层:L2 D' | 收尾:B2 U2
E0116 [   0,494, 4452,14] [ 8步] U翻棱:R2 D2 | D归位:L2 U | 中层:F2 U | 收尾:L2 B2
E0117 [   0,494, 5485,12] [ 9步] U翻棱:F2 U' | D归位:D' L2 | 中层:F2 D' | 收尾:F2 U2 D
E0118 [   0,494,15784, 4] [ 4步] U翻棱:L2 | D归位:B2 | 中层:U' | 收尾:D'
E0119 [   0,494, 6778,16] [12步] U翻棱:D2 L2 F2 | D归位:L2 F2 D | 中层:F2 B2 L2 | 收尾:U D2 B2
E0120 [   0,494,15786, 7] [ 7步] U翻棱:D | D归位:F2 R2 | 中层:U D | 收尾:R2 B2
E0121 [   0,494,29161, 8] [ 4步] U翻棱:U | D归位:D' | 中层:L2 | 收尾:F2
E0122 [   0,494,15443,14] [ 5步] U翻棱:L2 | D归位:U' | 中层:D2 | 收尾:F2 L2
E0123 [   0,494, 6016, 2] [ 3步] U翻棱:L2 | D归位: | 中层:U | 收尾:D2
E0124 [   0,494,29688, 8] [ 7步] U翻棱:D' | D归位:R2 L2 | 中层:D R2 | 收尾:F2 D2
E0125 [   0,494,20167,23] [ 5步] U翻棱:D' | D归位:R2 | 中层:U2 | 收尾:L2 U
E0126 [   0,494,28457,16] [ 8步] U翻棱:U R2 | D归位:F2 R2 | 中层:F2 L2 | 收尾:D2 F2
E0127 [   0,494,21102,20] [ 7步] U翻棱:U | D归位:R2 U' | 中层:D B2 | 收尾:R2 B2
E0128 [   0,494,15129, 0] [ 2步] U翻棱:U' | D归位: | 中层: | 收尾:D'
E0129 [   0,494,28801,12] [ 5步] U翻棱:F2 | D归位:U2 | 中层:D2 | 收尾:L2 D
E0130 [   0,494, 2690, 8] [ 4步] U翻棱:L2 | D归位:D' | 中层:F2 | 收尾:D
E0131 [   0,494,  714,12] [10步] U翻棱:R2 U | D归位:R2 U' D' | 中层:R2 L2 | 收尾:B2 D' R2
E0132 [   0,494,38342, 7] [ 8步] U翻棱:D2 R2 | D归位:F2 U | 中层:B2 D | 收尾:L2 U'
E0133 [   0,494, 2337,19] [ 6步] U翻棱:U | D归位:R2 U' | 中层:D2 | 收尾:F2 D
E0134 [   0,494,38812, 9] [ 6步] U翻棱:U' | D归位:R2 B2 | 中层:U | 收尾:L2 U'
E0135 [   0,494,36108, 3] [ 8步] U翻棱:U2 D | D归位:R2 L2 | 中层:F2 U2 | 收尾:R2 D'
E0136 [   0,494,  637, 0] [ 3步] U翻棱:L2 | D归位: | 中层:D' | 收尾:L2
E0137 [   0,494,19384,12] [ 6步] U翻棱:U | D归位:R2 L2 | 中层:B2 | 收尾:R2 U2
E0138 [   0,494,21012,22] [10步] U翻棱:U F2 | D归位:U' B2 R2 | 中层:U2 D | 收尾:L2 U2 B2
E0139 [   0,494, 5445,22] [10步] U翻棱:L2 U' | D归位:R2 D2 F2 | 中层:D' B2 | 收尾:U' B2 U2
E0140 [   0,494, 4746, 0] [ 7步] U翻棱:R2 | D归位:F2 R2 | 中层:B2 L2 | 收尾:B2 D2
E0141 [   0,494,27203,14] [11步] U翻棱:U2 R2 | D归位:B2 U B2 | 中层:D' B2 U2 | 收尾:D' R2 U2
E0142 [   0,494,28757,22] [ 5步] U翻棱:R2 | D归位:L2 | 中层:D2 | 收尾:F2 D
E0143 [   0,494, 5913, 1] [ 3步] U翻棱:B2 | D归位: | 中层:U | 收尾:D'
E0144 [   0,494, 5898,23] [ 6步] U翻棱:U' | D归位:R2 U2 | 中层:D2 | 收尾:L2 D'
E0145 [   0,494,17354,18] [ 7步] U翻棱:U2 | D归位:F2 R2 | 中层:F2 U | 收尾:R2 L2
E0146 [   0,494,37072, 4] [ 4步] U翻棱:U' | D归位:L2 | 中层:B2 | 收尾:U2
E0147 [   0,494,16354, 6] [ 7步] U翻棱:U' | D归位:R2 D2 | 中层:R2 D | 收尾:F2 D'
E0148 [   0,494,38593, 1] [ 8步] U翻棱:L2 F2 | D归位:R2 U2 | 中层:D F2 | 收尾:U2 L2
E0149 [   0,494,38674,23] [ 6步] U翻棱:F2 | D归位:R2 L2 | 中层:U2 | 收尾:B2 D
E0150 [   0,494,28083,15] [ 4步] U翻棱:R2 | D归位:U2 | 中层:B2 | 收尾:D'
E0151 [   0,494,31108, 5] [ 6步] U翻棱:D2 | D归位:F2 D2 | 中层:R2 | 收尾:D2 F2
E0152 [   0,494,15644, 7] [ 5步] U翻棱:U | D归位:B2 | 中层:U2 | 收尾:D F2
E0153 [   0,494, 5165,16] [ 7步] U翻棱:D | D归位:F2 B2 | 中层:U D | 收尾:R2 L2
E0154 [   0,494,30253, 5] [ 7步] U翻棱:U | D归位:F2 U | 中层:R2 U | 收尾:D' F2
E0155 [   0,494,26463, 2] [ 4步] U翻棱:R2 | D归位:D' | 中层:R2 | 收尾:L2
E0156 [   0,494,37210, 7] [ 5步] U翻棱:U | D归位:D | 中层:F2 | 收尾:B2 D2
E0157 [   0,494, 6872,20] [10步] U翻棱:L2 F2 | D归位:U2 D R2 | 中层:F2 U' | 收尾:R2 D' L2
E0158 [   0,494,20150,14] [ 7步] U翻棱:U | D归位:R2 D2 | 中层:B2 U2 | 收尾:R2 D
E0159 [   0,494,15618, 6] [ 7步] U翻棱:U2 | D归位:F2 R2 | 中层:D R2 | 收尾:U D
E0160 [   0,494,27380, 2] [ 3步] U翻棱:U2 | D归位: | 中层:L2 | 收尾:D
E0161 [   0,494,11800, 2] [ 3步] U翻棱:L2 | D归位: | 中层:U2 | 收尾:D2
E0162 [   0,494, 5889, 0] [ 2步] U翻棱:U | D归位: | 中层: | 收尾:D'
E0163 [   0,494, 2168,21] [ 5步] U翻棱:U' | D归位:B2 | 中层:D' | 收尾:B2 R2
E0164 [   0,494,30643, 7] [ 4步] U翻棱:U' | D归位:F2 | 中层:B2 | 收尾:D
E0165 [   0,494,21883, 5] [ 9步] U翻棱:U L2 | D归位:D R2 | 中层:L2 U' | 收尾:F2 R2 U
