corner_class,edge_class,canonical_a,canonical_b,sym,length
6,103,4,82,2,7
7,83,4,82,3,7
5,99,4,82,4,7
5,95,4,82,5,7
7,94,4,82,6,7
6,98,4,82,7,7
4,83,4,83,0,6
4,103,4,83,1,6
6,102,4,83,2,6
7,82,4,83,3,6
5,98,4,83,4,6
5,94,4,83,5,6
7,95,4,83,6,6
6,99,4,83,7,6
4,84,4,84,0,7
4,93,4,84,1,7
6,97,4,84,2,7
7,80,4,84,3,7
5,85,4,84,4,7
5,92,4,84,5,7
7,96,4,84,6,7
6,81,4,84,7,7
4,85,4,85,0,6
4,92,4,85,1,6
6,96,4,85,2,6
7,81,4,85,3,6
5,84,4,85,4,6
5,93,4,85,5,6
7,97,4,85,6,6
6,80,4,85,7,6
4,94,4,94,0,7
4,98,4,94,1,7
6,82,4,94,2,7
7,102,4,94,3,7
5,103,4,94,4,7
5,83,4,94,5,7
7,99,4,94,6,7
6,95,4,94,7,7
4,95,4,95,0,6
4,99,4,95,1,6
6,83,4,95,2,6
7,103,4,95,3,6
5,102,4,95,4,6
5,82,4,95,5,6
7,98,4,95,6,6
6,94,4,95,7,6
4,120,4,120,0,7
4,127,4,120,1,7
6,129,4,120,2,7
7,122,4,120,3,7
5,122,4,120,4,7
5,129,4,120,5,7
7,127,4,120,6,7
6,120,4,120,7,7
4,121,4,121,0,7
4,126,4,121,1,7
6,128,4,121,2,7
7,123,4,121,3,7
5,123,4,121,4,7
5,128,4,121,5,7
7,126,4,121,6,7
6,121,4,121,7,7
4,122,4,122,0,7
4,129,4,122,1,7
6,127,4,122,2,7
7,120,4,122,3,7
5,120,4,122,4,7
5,127,4,122,5,7
7,129,4,122,6,7
6,122,4,122,7,7
4,123,4,123,0,7
4,128,4,123,1,7
6,126,4,123,2,7
7,121,4,123,3,7
5,121,4,123,4,7
5,126,4,123,5,7
7,128,4,123,6,7
6,123,4,123,7,7
4,124,4,124,0,7
4,134,4,124,1,7
6,134,4,124,2,7
7,124,4,124,3,7
5,133,4,124,4,7
5,131,4,124,5,7
7,131,4,124,6,7
6,133,4,124,7,7
4,125,4,125,0,7
4,135,4,125,1,7
6,135,4,125,2,7
7,125,4,125,3,7
5,132,4,125,4,7
5,130,4,125,5,7
7,130,4,125,6,7
6,132,4,125,7,7
4,130,4,130,0,7
4,132,4,130,1,7
6,125,4,130,2,7
7,135,4,130,3,7
5,135,4,130,4,7
5,125,4,130,5,7
7,132,4,130,6,7
6,130,4,130,7,7
4,131,4,131,0,7
4,133,4,131,1,7
6,124,4,131,2,7
7,134,4,131,3,7
5,134,4,131,4,7
5,124,4,131,5,7
7,133,4,131,6,7
6,131,4,131,7,7
4,138,4,138,0,8
6,138,4,138,2,8
7,138,4,138,3,8
5,138,4,138,4,8
4,139,4,139,0,8
6,139,4,139,2,8
7,139,4,139,3,8
5,139,4,139,4,8
8,0,8,0,0,6
11,0,8,0,1,6
14,0,8,0,4,6
16,0,8,0,5,6
8,3,8,3,0,6
11,3,8,3,1,6
14,3,8,3,4,6
16,3,8,3,5,6
8,12,8,12,0,3
11,27,8,12,1,3
