ep_0..11,canonical_id,sym_index,length,formula
3 1 2 0 6 5 4 7 11 8 10 9,C470,2,13,U2 F2 U2 L2 D F2 L2 B2 U' F2 R2 D2 L2
3 1 2 0 6 5 4 7 11 9 8 10,C464,2,13,U2 L2 D L2 B2 R2 U' F2 R2 U2 R2 D2 F2
3 1 2 0 6 5 4 7 11 10 9 8,C465,2,13,U2 L2 U F2 R2 B2 D' F2 L2 B2 D2 R2 D2
3 1 2 0 6 5 7 4 8 9 11 10,C444,2,13,B2 U F2 D2 L2 B2 D2 L2 F2 R2 B2 U B2
3 1 2 0 6 5 7 4 8 10 9 11,C446,2,13,F2 R2 F2 B2 U2 B2 U' F2 B2 D' R2 F2 U2
3 1 2 0 6 5 7 4 8 11 10 9,C448,2,13,L2 U2 F2 D F2 B2 U F2 B2 R2 B2 D2 F2
3 1 2 0 6 5 7 4 9 8 10 11,C451,2,13,B2 U F2 U2 L2 B2 D2 L2 B2 L2 B2 U B2
3 1 2 0 6 5 7 4 9 10 11 8,C447,2,13,L2 U2 F2 U L2 R2 D F2 B2 R2 B2 D2 F2
3 1 2 0 6 5 7 4 9 11 8 10,C449,2,13,F2 R2 F2 B2 U2 B2 D' L2 R2 U' R2 F2 U2
3 1 2 0 6 5 7 4 10 8 11 9,C452,2,13,F2 L2 U2 F2 U L2 R2 D F2 B2 R2 B2 D2
3 1 2 0 6 5 7 4 10 9 8 11,C445,2,13,B2 U' L2 F2 R2 B2 U2 B2 D2 L2 B2 U' B2
3 1 2 0 6 5 7 4 10 11 9 8,C741,2,14,U2 F2 U L2 R2 D L2 B2 U F2 R2 B2 D' F2
3 1 2 0 6 5 7 4 11 8 9 10,C450,2,13,L2 B2 U2 F2 U L2 R2 D L2 B2 U2 L2 B2
3 1 2 0 6 5 7 4 11 9 10 8,C443,2,13,F2 L2 U2 F2 D F2 B2 U F2 B2 R2 B2 D2
3 1 2 0 6 5 7 4 11 10 8 9,C740,2,14,U2 F2 D2 L2 F2 B2 D L2 R2 U' R2 F2 U2 F2
3 1 2 0 6 7 4 5 8 9 11 10,C530,2,13,U2 F2 D2 F2 L2 B2 R2 D' L2 F2 R2 U B2
3 1 2 0 6 7 4 5 8 10 9 11,C532,2,13,U2 L2 U F2 R2 B2 D' F2 L2 B2 R2 D2 R2
3 1 2 0 6 7 4 5 8 11 10 9,C534,2,13,F2 U2 F2 B2 R2 U' L2 B2 R2 D B2 U2 R2
3 1 2 0 6 7 4 5 9 8 10 11,C536,2,13,U2 F2 U2 B2 L2 F2 R2 U' F2 L2 B2 D B2
3 1 2 0 6 7 4 5 9 10 11 8,C533,2,13,F2 R2 U2 L2 U' B2 R2 B2 U B2 U2 F2 R2
3 1 2 0 6 7 4 5 9 11 8 10,C780,2,14,U2 F2 U' L2 F2 L2 U' L2 B2 D2 L2 B2 D2 L2
3 1 2 0 6 7 4 5 10 8 11 9,C781,2,14,U2 F2 U' L2 F2 L2 U' L2 B2 U2 R2 F2 U2 L2
3 1 2 0 6 7 4 5 10 9 8 11,C531,2,13,F2 U2 F2 B2 R2 D' B2 R2 F2 U F2 D2 R2
3 1 2 0 6 7 4 5 10 11 9 8,C779,2,14,U F2 U L2 B2 R2 U' F2 R2 B2 L2 U2 R2 D
3 1 2 0 6 7 4 5 11 8 9 10,C535,2,13,F2 L2 U2 L2 D L2 F2 L2 D' F2 D2 B2 R2
3 1 2 0 6 7 4 5 11 9 10 8,C529,2,13,U2 L2 D L2 B2 R2 U' F2 R2 B2 L2 U2 R2
3 1 2 0 6 7 4 5 11 10 8 9,C778,2,14,U2 F2 D2 L2 F2 D2 L2 F2 U' F2 R2 F2 U' R2
3 1 2 0 6 7 5 4 8 9 10 11,C204,2,12,L2 B2 L2 D' F2 U' R2 F2 L2 D' L2 D'
3 1 2 0 6 7 5 4 8 10 11 9,C206,2,12,D' F2 D' F2 L2 B2 D' B2 U' F2 R2 F2
3 1 2 0 6 7 5 4 8 11 9 10,C207,2,12,L2 B2 L2 D' F2 D' F2 L2 B2 D' B2 U'
3 1 2 0 6 7 5 4 9 8 11 10,C509,2,13,U' R2 U D2 F2 L2 B2 D' B2 U' F2 R2 F2
3 1 2 0 6 7 5 4 9 10 8 11,C507,2,13,U D2 L2 U' F2 L2 B2 U' L2 D' F2 R2 F2
